UserId,ApplicationId,No of License Required
582,374,3
7619,374,2
5343,374,1
5013,374,3
1418,374,1
7925,374,1
879,374,2
3824,374,2
4443,374,1
151,374,3
7519,374,1
6014,374,1
9298,374,2
8754,374,1
6470,374,1
5931,374,5
4985,374,2
4738,374,3
7444,374,2
62,374,2
9725,374,3
8001,374,2
1441,374,1
7768,374,1
5487,374,1
9084,374,1
3288,374,1
3809,374,2
7831,374,1
677,374,1
663,374,1
780,374,3
1299,374,4
4384,374,1
7287,374,1
6588,374,2
2950,374,1
1099,374,1
4576,374,2
8383,374,1
8351,374,2
5953,374,1
802,374,1
5639,374,1
5127,374,4
5991,374,1
481,374,2
7591,374,2
7364,374,1
2108,374,1
6397,374,1
9407,374,1
9979,374,1
9236,374,1
995,374,1
3423,374,1
2211,374,2
4100,374,1
8010,374,2
8895,374,3
3167,374,4
4549,374,2
4352,374,2
2117,374,1
3137,374,2
8662,374,1
1178,374,2
7795,374,1
4212,374,1
4411,374,2
1155,374,1
3392,374,3
1841,374,2
2436,374,2
1675,374,2
466,374,1
2514,374,1
4496,374,1
9054,374,2
8872,374,1
8408,374,2
2918,374,2
1807,374,4
7576,374,3
4665,374,1
2581,374,5
8067,374,2
2923,374,2
2201,374,1
2090,374,2
5165,374,1
7540,374,1
1624,374,1
5925,374,3
5866,374,1
6911,374,2
8538,374,3
777,374,2
6141,374,1
1918,374,3
3761,374,3
2917,374,1
5930,374,1
1495,374,1
8965,374,1
8809,374,2
7530,374,1
7442,374,1
2307,374,1
9423,374,1
1904,374,1
5033,374,1
3345,374,1
7563,374,1
1204,374,2
4866,374,2
8568,374,1
814,374,3
5825,374,2
1301,374,2
4271,374,1
4243,374,4
3305,374,2
2245,374,2
2992,374,2
4567,374,3
4652,374,1
2482,374,2
3933,374,2
6409,374,1
4163,374,3
963,374,1
5882,374,1
6728,374,1
4619,374,2
2400,374,3
7161,374,1
9728,374,1
6287,374,1
6872,374,1
8705,374,3
4197,374,2
7238,374,1
3011,374,1
2019,374,3
6691,374,2
6545,374,1
9658,374,4
4216,374,1
1973,374,2
7951,374,2
1582,374,1
3501,374,1
7196,374,2
1025,374,2
9517,374,2
2682,374,2
7433,374,1
1977,374,3
7940,374,5
1800,374,4
3736,374,1
1039,374,1
1802,374,2
8120,374,2
7524,374,2
8098,374,1
9184,374,2
4225,374,1
7690,374,2
9845,374,1
328,374,3
8387,374,1
7322,374,1
6561,374,4
8425,374,2
273,374,2
5682,374,2
502,374,2
9192,374,1
3031,374,3
4336,374,1
2873,374,1
7346,374,1
5872,374,1
8280,374,2
5563,374,2
6546,374,1
3377,374,3
4223,374,2
5036,374,1
4893,374,3
